School Year,System Id,System Name,AJC_ATL_metro_ID,School Id,School Name,Grade Configuration,Grade Cluster,CCRPI Score,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points
2012,761,Atlanta Public Schools,Y,0117,Atlanta Preparatory Academy,"KK, 01, 02, 03, 04, 05, 06, 07",E,59.8,46.9,6.9,6,0,0,0
2012,722,Rockdale County,E,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,87,59.4,10.2,12,0,5.4,5.4
2012,761,Atlanta Public Schools,Y,0604,Bazoline E. Usher/Collier Heights Elmentary School,"PK, KK, 01, 02, 03, 04, 05",E,61.6,43.1,8.2,8.3,2,0,2
2012,761,Atlanta Public Schools,Y,3051,Beecher Hills Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,85.3,55.8,8.3,13.5,1.5,6.2,7.7
2012,761,Atlanta Public Schools,Y,5051,Benteen Elementary School,"KK, 01, 02, 03, 04, 05",E,50.7,37.7,8,4.5,0.5,0,0.5
2012,722,Rockdale County,E,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,85.7,57.4,10,11.3,0,7,7
2012,761,Atlanta Public Schools,Y,1052,Bethune Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,44.2,33,6.7,4.5,0,0,0
2012,675,Henry County,E,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,83.9,59,10.2,11.3,0,3.4,3.4
2012,764,Buford City,E,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,89.5,61.8,11.8,15,0,0.9,0.9
2012,761,Atlanta Public Schools,Y,0303,Bolton Academy,"PK, KK, 01, 02, 03, 04, 05",E,67.5,46.9,7.3,10.5,0.5,2.3,2.8
2012,761,Atlanta Public Schools,Y,0113,Booker T. Washington - Early College Small School,"09, 10, 11",H,82.8,53.5,10.7,14.1,0,4.5,4.5
2012,761,Atlanta Public Schools,Y,0112,"Booker T. Washington High School - Banking, Finance and Investment Small Sc","09, 10, 11",H,60.1,38.7,9.2,12.2,0,0,0
2012,761,Atlanta Public Schools,Y,0114,"Booker T. Washington High School - Health, Sciences and Nutrition Small Sch","09, 10, 11",H,46,32.4,8,5.6,0,0,0
2012,761,Atlanta Public Schools,Y,1053,Boyd Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,55.6,38.5,11.1,4.5,0.5,1,1.5
2012,761,Atlanta Public Schools,Y,2053,Brandon Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,95.1,66.2,10.7,15,1.5,1.7,3.2
2012,761,Atlanta Public Schools,Y,0100,Brown Middle School,"06, 07, 08",M,69.9,48.2,8.6,8.3,0,4.8,4.8
2012,761,Atlanta Public Schools,Y,0180,Bunche Middle School,"06, 07, 08",M,58.1,43.2,7.5,6,0.5,0.9,1.4
2012,761,Atlanta Public Schools,Y,0305,Burgess-Peterson Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,57.4,42.2,7.7,7.5,0,0,0
2012,761,Atlanta Public Schools,Y,5054,Capitol View Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,59.3,44.1,8.9,5.3,0,1,1
2012,761,Atlanta Public Schools,Y,0196,Cascade Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,80.2,51.3,8.4,11.3,1.5,7.7,9.2
2012,761,Atlanta Public Schools,Y,0199,Centennial Place Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,76.2,56.2,9.2,9,0.5,1.3,1.8
2012,761,Atlanta Public Schools,Y,0201,Charles R. Drew Charter School,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08",E,98,64.1,10.3,15,1,7.6,8.6
2012,761,Atlanta Public Schools,Y,0201,Charles R. Drew Charter School,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08",M,89.3,56.6,10.4,15,0,7.3,7.3
2012,761,Atlanta Public Schools,Y,4056,Cleveland Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,65.4,48.3,9.1,6,2,0,2
2012,761,Atlanta Public Schools,Y,5056,Coan Middle School,"06, 07, 08",M,60.3,43.1,7.9,8.3,0,1,1
2012,761,Atlanta Public Schools,Y,2057,Connally Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,50,37.7,8,3.8,0.5,0,0.5
2012,761,Atlanta Public Schools,Y,3057,Continental Colony Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,58.5,39.9,8.2,7.5,1,1.9,2.9
2012,761,Atlanta Public Schools,Y,4057,Cook Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,52.3,34.3,9,7.5,0.5,1,1.5
2012,761,Atlanta Public Schools,Y,0121,Coretta Scott King Young Women's Academy High School,"09, 10",H,53.1,37.4,8.2,7.5,0,0,0
2012,761,Atlanta Public Schools,Y,0120,Coretta Scott King Young Women's Academy Middle School,"06, 07, 08",M,65.9,48.9,7.6,7.5,0,1.9,1.9
2012,761,Atlanta Public Schools,Y,2664,Crim High School,"09, 10, 11, 12",H,29.2,12.4,7.4,9.4,0,0,0
2012,761,Atlanta Public Schools,Y,5066,D. H. Stanton Elementary School,"KK, 01, 02, 03, 04, 05",E,57.9,36.7,8.7,12,0.5,0,0.5
2012,761,Atlanta Public Schools,Y,0304,Deerwood Academy School,"PK, KK, 01, 02, 03, 04, 05",E,71.8,51,8.7,9,1.5,1.6,3.1
2012,761,Atlanta Public Schools,Y,0104,Dobbs Elementary School ,"PK, KK, 01, 02, 03, 04, 05",E,59.1,42.1,8,7.5,0.5,1,1.5
2012,761,Atlanta Public Schools,Y,4058,Douglass High School,"09, 10, 11, 12",H,55.6,34.9,8.9,11.3,0,0.5,0.5
2012,761,Atlanta Public Schools,Y,5558,Dunbar Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,48.2,32.4,7,8.3,0.5,0,0.5
2012,761,Atlanta Public Schools,Y,0106,Early College High School at Carver,"09, 10, 11, 12",H,96.3,63.8,11.9,15,0.5,5.1,5.6
2012,761,Atlanta Public Schools,Y,2059,East Lake Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,62.6,46,8.8,6.8,1,0,1
2012,761,Atlanta Public Schools,Y,5566,F. L. Stanton Elementary School,"KK, 01, 02, 03, 04, 05",E,55.6,36,7.8,11.3,0.5,0,0.5
2012,761,Atlanta Public Schools,Y,3059,Fain Elementary School,"KK, 01, 02, 03, 04, 05",E,68.1,41.9,9.7,12,1,3.5,4.5
2012,761,Atlanta Public Schools,Y,3559,Fickett Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,63.5,44.3,8,7.5,2,1.7,3.7
2012,761,Atlanta Public Schools,Y,0105,Finch Elementary,"KK, 01, 02, 03, 04, 05",E,58.3,38.4,8.4,10.5,1,0,1
2012,761,Atlanta Public Schools,Y,1560,Garden Hills Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,73.9,50.2,8.9,9.8,0.5,4.5,5
2012,761,Atlanta Public Schools,Y,2560,Gideons Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,50.5,38.1,8.1,3.8,0.5,0,0.5
2012,761,Atlanta Public Schools,Y,4560,Grady High School,"09, 10, 11, 12",H,70.5,51.2,7.8,10.3,0,1.2,1.2
2012,761,Atlanta Public Schools,Y,5560,Grove Park Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,49.4,33.2,7.9,8.3,0,0,0
2012,761,Atlanta Public Schools,Y,0504,Harper-Archer Middle School,"06, 07, 08",M,55.6,38.4,7.4,9.8,0,0,0
2012,761,Atlanta Public Schools,Y,0103,Heritage Academy Elementary,"PK, KK, 01, 02, 03, 04, 05",E,58.5,39.4,8.8,9.8,0.5,0,0.5
2012,761,Atlanta Public Schools,Y,0203,Herndon Elementary ,"PK, KK, 01, 02, 03, 04, 05",E,53.9,33.4,7,13.5,0,0,0
2012,761,Atlanta Public Schools,Y,0207,Hillside Conant School,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,NA,NA,NA,NA,NA,NA,NA
